bin_low_MeV,bin_high_MeV,count
0.1,0.15848932,1702
0.15848932,0.25118864,306
0.25118864,0.39810717,176
0.39810717,0.63095734,194
0.63095734,1,142
1,1.5848932,165
1.5848932,2.5118864,142
2.5118864,3.9810717,138
3.9810717,6.3095734,103
6.3095734,10,85
10,15.848932,58
15.848932,25.118864,61
25.118864,39.810717,100
39.810717,63.095734,180
63.095734,100,861
100,158.48932,1894
158.48932,251.18864,998
251.18864,398.10717,529
398.10717,630.95734,318
630.95734,1000,64
1000,1584.8932,9
1584.8932,2511.8864,6
2511.8864,3981.0717,6
3981.0717,6309.5734,2
6309.5734,10000,1
10000,15848.932,2
15848.932,25118.864,1
25118.864,39810.717,0
39810.717,63095.734,0
63095.734,100000,0
100000,158489.32,0
158489.32,251188.64,0
251188.64,398107.17,0
398107.17,630957.34,0
630957.34,1000000,0
1000000,1584893.2,0
1584893.2,2511886.4,0
2511886.4,3981071.7,0
3981071.7,6309573.4,0
6309573.4,10000000,0
