bin_low_MeV,bin_high_MeV,count
0.1,0.15848932,173
0.15848932,0.25118864,26
0.25118864,0.39810717,19
0.39810717,0.63095734,17
0.63095734,1,8
1,1.5848932,10
1.5848932,2.5118864,10
2.5118864,3.9810717,13
3.9810717,6.3095734,10
6.3095734,10,3
10,15.848932,1
15.848932,25.118864,7
25.118864,39.810717,5
39.810717,63.095734,21
63.095734,100,88
100,158.48932,183
158.48932,251.18864,94
251.18864,398.10717,54
398.10717,630.95734,22
630.95734,1000,5
1000,1584.8932,1
1584.8932,2511.8864,0
2511.8864,3981.0717,1
3981.0717,6309.5734,0
6309.5734,10000,0
10000,15848.932,0
15848.932,25118.864,1
25118.864,39810.717,0
39810.717,63095.734,0
63095.734,100000,0
100000,158489.32,0
158489.32,251188.64,0
251188.64,398107.17,0
398107.17,630957.34,0
630957.34,1000000,0
1000000,1584893.2,0
1584893.2,2511886.4,0
2511886.4,3981071.7,0
3981071.7,6309573.4,0
6309573.4,10000000,0
